愛;あい;love
水素;すいそ;hydrogen
垂直;すいちょく;vertical, perpendicular
スイッチ;スイッチ;switch
推定;すいてい;presumption, assumption, estimation
水滴;すいてき;drop of water
水筒;すいとう;canteen, flask, water bottle
随筆;ずいひつ;essays, miscellaneous writings
水分;すいぶん;moisture
随分;ずいぶん;*pretty much, very much;
水平;すいへい;water level, horizon
水平線;すいへいせん;horizon
睡眠;すいみん;sleep
水面;すいめん;water's surface
数;すう;number, (mathematics) function
数字;すうじ;numeral, figure
ずうずうしい;ずうずうしい;impudent, shameless 
スーツ;スーツ;suit
ずうっと;ずうっと;
スーパー;スーパー;super, supermarket
スープ;スープ;(Western) soup
末;すえ;end, close, future, finally, tip, top, trivialities, posterity, youngest child
末っ子;すえっこ;youngest child
姿;すがた;figure, shape, appearance
スカーフ;スカーフ;scarf
図鑑;ずかん;picture book
隙;すき;chance or opportunity, chink (in one's armor), interval, gap 
杉;すぎ;Japanese cedar
~過ぎ;~すぎ;over-, past, excessive
スキー;スキー;skiing
好き嫌い;すききらい;likes and dislikes, taste
好き好き;すきずき;matter of taste
透き通る;すきとおる;be or become transparent
隙間;すきま;crevice, crack, gap, opening 
空く;すく;*be less crowded, open, become open, become empty;
救う;すくう;rescue from, help out of
スクール;スクール;school
すくなくとも;すくなくとも;at least 
優れる;すぐれる;surpass, outstrip, excel 
図形;ずけい;figure
スケート;スケート;skate(s), skating
スケジュール;スケジュール;schedule
少しも;すこしも;anything of, not one bit
過ごす;すごす;pass, spend, go through, tide over
筋;すじ;muscle, string, line, stripe, plot, plan, sinew
鈴;すず;bell
進む;すすむ;make progress, advance, improve
涼む;すずむ;cool oneself, cool off, enjoy evening cool
進める;すすめる;advance, promote, hasten
勧める;すすめる;recommend, advise, encourage
スター;スター;star
スタート;スタート;start
スタイル;スタイル;style
スタンド;スタンド;stand
スチュワーデス;スチュワーデス;stewardess
頭痛;ずつう;headache
すっきり;すっきり;refreshed, clear, shapely, neat
すっと;すっと;consecutively, throughout, lot
すっぱい;すっぱい;sour, acid
ステージ;ステージ;stage, performance
すてき;すてき;lovely, dreamy, beautiful, great, fantastic, superb
既に;すでに;already, too late
棄てる;すてる;throw away, cast aside, abandon, resign
ストッキング;ストッキング;stockings
ストップ;ストップ;stop
素直;すなお;obedient, meek, docile, unaffected
すなわち;すなわち;that is, namely, i.e. 
頭脳;ずのう;head, brains, intellect
素晴らしい;すばらしい;*wonderful, splendid, magnificent;
スピーカー;スピーカー;speaker
スピーチ;スピーチ;speech
図表;ずひょう;chart, diagram, graph
全て;すべて;all, the whole, entirely, in general, wholly
滑る;すべる;*to slide, to slip, to glide;
スマート;スマート;smart, stylish, slim
住まい;すまい;dwelling, house, residence, address
済ませる;すませる;be finished
すまない;すまない;sorry
角;すみ;corner, nook
墨;すみ;ink
~済;~ずみ;
すみません;すみません;sorry, excuse me
澄む, 清む;すむ;to clear (e.g. weather), become transparent 
相撲;すもう;sumo wrestling
スライド;スライド;slide
ずらす;ずらす;put off, delay
ずらり;ずらり;(in a) row
掏摸;すり;*pickpocket;
刷る;する;print, publish
為る;する;do, try, play, practice, cost, serve as, pass, elapse
狡い;ずるい;sly, cunning
鋭い;するどい;pointed, sharp
すれちがう;すれちがう;pass by one another, disagree, miss each other 
滑れる;ずれる;slide, slip off
寸法;すんぽう;measurement, size, dimension;
背;せ;height, stature
正;せい;(logical) true, regular
生;せい;
性;せい;sex, gender
姓;せい;surname, family name
所為;せい;act, deed, one's doing 
~性;~せい;
税;ぜい;tax
性格;せいかく;character, personality
正確;せいかく;accurate, punctual, exact, authentic, veracious
税関;ぜいかん;customs house
世紀;せいき;century, era
請求;せいきゅう;claim, demand, application, request
税金;ぜいきん;tax, duty
清潔;せいけつ;clean
制限;せいげん;restriction, restraint, limitation
成功;せいこう;success, hit
製作;せいさく;manufacture, production
制作;せいさく;work (film, book)
生産;せいさん;production, manufacture
正式;せいしき;due form, official, formality
性質;せいしつ;nature, property, disposition
清書;せいしょ;clean copy
青少年;せいしょうねん;youth, young person
精神;せいしん;mind, soul, heart, spirit, intention
成人;せいじん;adult
整数;せいすう;integer
精々;せいぜい;at the most, at best, to the utmost, as much (far) as possible
成績;せいせき;results, record
清掃;せいそう;cleaning
製造;せいぞう;manufacture, production
生存;せいぞん;existence, being, survival
贅沢;ぜいたく;luxury, extravagance
成長;せいちょう;growth, grow to adulthood
生長;せいちょう;growth, increment;
制度;せいど;system, institution, organization
政党;せいとう;(member of) political party
青年;せいねん;youth, young man
生年月日;せいねんがっぴ;birth date
性能;せいのう;ability, efficiency
整備;せいび;adjustment, completion, consolidation
製品;せいひん;manufactured goods
政府;せいふ;government, administration
生物;せいぶつ;living things, creature
成分;せいぶん;ingredient, component, composition
性別;せいべつ;distinction by sex, sex, gender
正方形;せいほうけい;square
生命;せいめい;life, existence
正門;せいもん;main gate, main entrance;
整理;せいり;sorting, arrangement, adjustment, regulation
成立;せいりつ;coming into existence, arrangements, establishment, completion
西暦;せいれき;Christian Era, Anno Domini (A.D.) 
背負う;せおう;be burdened with, carry on back or shoulder
咳;せき;cough
~隻;~せき;boats
石炭;せきたん;coal
赤道;せきどう;equator
責任;せきにん;duty, responsibility
石油;せきゆ;oil, petroleum, kerosene
世間;せけん;world, society
説;せつ;theory
折角;せっかく;with trouble, at great pains, long-awaited 
積極的;せっきょくてき;positive, active, proactive
接近;せっきん;getting closer, approaching
設計;せっけい;plan, design
石鹸;せっけん;*soap;
接する;せっする;come in contact with, connect, attend, receive
せっせと;せっせと;diligently, assiduously
接続;せつぞく;connection, union, join, link, changing trains
絶対;ぜったい;absolute, unconditional, absoluteness
セット;セット;set
設備;せつび;equipment, device, facilities, installation
絶滅;ぜつめつ;destruction, extinction
節約;せつやく;economising, saving
瀬戸物;せともの;earthenware, crockery, china
是非;ぜひ;certainly, without fail
ぜひとも;ぜひとも;by all means (with sense of not taking "no" for an answer)
迫る;せまる;draw near, press
ゼミ;ゼミ;seminar
せめて;せめて;at least, at most
攻める;せめる;attack, assault
責める;せめる;condemn, blame, criticize
セメント;セメント;cement
台詞;せりふ;speech, words, one's lines, remarks
栓;せん;stopper, cork
~船;~せん;
~戦;~せん;battle, game, contest, bout
善;ぜん;good, goodness, right, virtue
全;ぜん;all, whole, entire, complete, overall, pan-
前~;ぜん~;former, preceding, previous
~前;~ぜん;boat, ship, vessel
全員;ぜんいん;all members (unanimity), all hands, the whole crew
前後;ぜんご;around, throughout, front and back, before and behind, before and after, about that (time), longitudinal, context, nearly, approximately
専攻;せんこう;major subject, special study
全国;ぜんこく;nation-wide, whole country, national
洗剤;せんざい;detergent, washing material
先日;せんじつ;the other day, a few days ago
前者;ぜんしゃ;the former
選手;せんしゅ;player (in game), team
全集;ぜんしゅう;complete works
全身;ぜんしん;the whole body, full-length (portrait) 
前進;ぜんしん;advance, drive, progress
扇子;せんす;folding fan;
専制;せんせい;despotism, autocracy
全然;ぜんぜん;*wholly, entirely, completely, not at all (with neg. verb);
先々月;せんせんげつ;month before last 
先々週;せんせんしゅう;week before last
先祖;せんぞ;ancestor
センター;センター;center (noun)
全体;ぜんたい;whole, entirety, whatever (is the matter)
選択;せんたく;selection, choice
先端;せんたん;pointed end, tip, fine point, spearhead, cusp, vanguard, advanced, leading edge
センチ;センチ;centimeter (centi-), 1/100
宣伝;せんでん;propaganda, publicity
先頭;せんとう;head, lead, vanguard, first 
全般;ぜんぱん;whole, universal, wholly, general
扇風機;せんぷうき;electric fan
洗面;せんめん;wash up (one's face), have a wash
全力;ぜんりょく;all one's power, whole energy
線路;せんろ;line, track, roadbed
~沿い;~そい;along
総~;そう~;entire, whole
~艘;~そう;ship, boat
象;ぞう;elephant
相違;そうい;difference, discrepancy, variation
そういえば;そういえば;which reminds me ...
騒音;そうおん;noise
増加;ぞうか;increase, addition
雑巾;ぞうきん;dust cloth
増減;ぞうげん;increase and decrease, fluctuation
倉庫;そうこ;storehouse, warehouse
相互;そうご;mutual, reciprocal
操作;そうさ;operation, management, processing
創作;そうさく;production, literary creation, work;
葬式;そうしき;funeral
造船;ぞうせん;shipbuilding
想像;そうぞう;imagination, guess
騒々しい;そうぞうしい;noisy, boisterous
相続;そうぞく;succession, inheritance
増大;ぞうだい;enlargement
装置;そうち;equipment, installation, apparatus
そうっと;そうっと;
相当;そうとう;suitable, fair, tolerable, proper, extremely
送別;そうべつ;farewell, send-off
草履;ぞうり;sandals
総理大臣;そうりだいじん;Prime Minister
送料;そうりょう;postage
~足;~そく;pair (of footwear)
属する;ぞくする;belong to, come under, be affiliated with, be subject to
続々;ぞくぞく;successively, one after another
速達;そくたつ;express, special delivery
測定;そくてい;measurement
